"","PROGRAM","BUSINESS_STATE","BUSINESS_COUNTY","BUSINESS_CITY","BUSINESS_ZIP","RURAL","URBAN","SBA_DISTRICT_OFFICE","CONGRESSIONAL_DISTRICT","PROJECT_NAICS","BUSINESS_NAICS","BUSINESS_STARTED","QUICK_BOND","BUSINESS_8A","BUSINESS_HUBZONE","PRINCIPAL_1_VETERAN","PRINCIPAL_1_GENDER","PRINCIPAL_1_RACE","PRINCIPAL_1_HISPANIC","PRINCIPAL_2_VETERAN","PRINCIPAL_2_GENDER","PRINCIPAL_2_RACE","PRINCIPAL_2_HISPANIC","PRINCIPAL_3_VETERAN","PRINCIPAL_3_GENDER","PRINCIPAL_3_RACE","PRINCIPAL_3_HISPANIC","PRINCIPAL_4_VETERAN","PRINCIPAL_4_GENDER","PRINCIPAL_4_RACE","PRINCIPAL_4_HISPANIC","PRINCIPAL_5_VETERAN","PRINCIPAL_5_GENDER","PRINCIPAL_5_RACE","PRINCIPAL_5_HISPANIC","LARGEST_CONTRACT","PROJECT_START_DATE","PROJECT_END_DATE","PROJECT_NAICS_TEXT","PROJECT_STATE","PROJECT_COUNTY","PROJECT_ZIP","OBLIGEE_TYPE","APPLICANT_CATEGORY","PERCENT_SUBCONTRACT","CONTRACTOR_JOB_STARTED","GUARANTY_PERCENT","INSTANCE_NUMBER","INSTANCE_TYPE","INSTANCE_DATE","INSTANCE_CONTRACT_AMOUNT","BOND_STATUS","BOND_TYPE","JOB_RETAINED","JOB_CREATED","BOND_DECISION","BOND_LINE","ProjectStartYear","CriticalTech","count","AnyTag"
"1","PSB","NM","DONA ANA","LAS CRUCES",88005,"No","Yes",682,2,541690,541690,"10/6/2009","No","No","No","Non-Veteran","Male",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009-10-07,"9/30/2010","Other Scientific and Technical Consulting Services","KY","JEFFERSON",40202,"Federal","SubContractor",NA,"No",70,0,"Original","10/6/2009",405471,"Active","FINAL",0,5,"Approve","No",2009,"High Technology",1,TRUE
"2","SBG","NJ","MERCER","ROBBINSVILLE",8691,"No","Yes",299,4,541519,238210,"1/1/1968","No","No","No","Veteran","Male","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other Computer Related Services","NJ","MONMOUTH",7716,"Local","Prime",30,"No",90,0,"Original","11/27/2009",350000,NA,"BID",NA,NA,"Decline","No",NA,"Computing",1,TRUE
"3","PSB","TX","BEXAR","SAN ANTONIO",78219,"No","Yes",681,21,221111,236220,"2/1/2007","No","No","No","Non-Veteran","Male",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","TX",NA,78226,"Local","Prime",NA,"No",70,0,"Original","3/19/2010",350000,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"4","PSB","TX","BEXAR","SAN ANTONIO",78219,"No","Yes",681,21,221111,236220,"2/1/2007","No","No","No","Non-Veteran","Male",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","TX",NA,78226,"Local","Prime",NA,"No",70,1,"Decrease","3/29/2010",350000,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"5","PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CO",NA,80446,"Local","Prime",NA,"No",70,0,"Original","5/5/2010",2e+05,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"6","PSB","CA","VENTURA","CAMARILLO",93012,"No","Yes",914,26,221111,221310,"12/16/2009","No","No","No","Non-Veteran","Male","White","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-02,"10/31/2010","Hydroelectric Power Generation","CA",NA,91362,"Local","Prime",NA,"No",70,0,"Original","5/5/2010",750000,"Active","BID",2,5,"Approve","No",2010,"Renewables",1,TRUE
"7","SBG","PA","LEHIGH","ALLENTOWN",18103,"No","Yes",303,7,541512,541512,"10/18/1954","No","No","No","Unknown/NotStated","Male","White","No","Non-Veteran","Male","White","No","Non-Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,8e+06,2010-06-01,"6/30/2011","Computer Systems Design Services","NY","NEW YORK",10119,"State","Prime",18,"No",80,0,"Original","5/18/2010",3543748,"Active","FINAL",4,2,"Approve","No",2010,"Computing",1,TRUE
"8","PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CO",NA,80446,"Local","Prime",NA,"No",70,1,"Decrease","6/2/2010",2e+05,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"9","PSB","TX","BEXAR","SAN ANTONIO",78220,"No","Yes",681,23,221111,236115,"6/21/2010","No","No","No","Non-Veteran","Male",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","TX",NA,78778,"State","Prime",NA,"No",70,0,"Original","6/4/2010",2e+05,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"10","PSB","TX","BEXAR","SAN ANTONIO",78220,"No","Yes",681,23,221111,236115,"6/21/2010","No","No","No","Non-Veteran","Male",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","TX",NA,78778,"State","Prime",NA,"No",70,1,"Decrease","6/10/2010",2e+05,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"11","PSB","CA","VENTURA","CAMARILLO",93012,"No","Yes",914,26,221111,221310,"12/16/2009","No","No","No","Non-Veteran","Male","White","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-02,"10/31/2010","Hydroelectric Power Generation","CA","VENTURA",91362,"Local","Prime",NA,"No",70,1,"Original","7/8/2010",578537,"Active","FINAL",2,5,"Approve","No",2010,"Renewables",1,TRUE
"12","PSB","CA","ALAMEDA","HALF MOON BAY",94019,"No","Yes",912,14,221111,236220,"11/8/2009","No","Yes","No","Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CA",NA,93955,"Federal","Prime",NA,"No",70,0,"Original","7/28/2010",211500,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"13","SBG","PA","LEHIGH","ALLENTOWN",18103,"No","Yes",303,7,541512,541512,"10/18/1954","No","No","No","Unknown/NotStated","Male","White","No","Non-Veteran","Male","White","No","Non-Veteran","Male","White","No","Non-Veteran","Female","White","No",NA,NA,NA,NA,8e+06,2010-06-01,"6/30/2011","Computer Systems Design Services","NY","NEW YORK",10119,"State","Prime",18,"No",80,1,"Increase","7/29/2010",3543748,"Active","FINAL",4,2,"Approve","No",2010,"Computing",1,TRUE
"14","PSB","CA","ALAMEDA","HALF MOON BAY",94019,"No","Yes",912,14,221111,236220,"11/8/2009","No","Yes","No","Veteran","Female","White","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","CA",NA,93955,"Federal","Prime",NA,"No",70,1,"Decrease","8/4/2010",211500,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"15","PSB","CA","VENTURA","CAMARILLO",93012,"No","Yes",914,26,221111,221310,"12/16/2009","No","No","No","Non-Veteran","Male","White","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-08-02,"10/31/2010","Hydroelectric Power Generation","CA","VENTURA",91362,"Local","Prime",NA,"No",70,2,"Increase","10/29/2010",621137.51,"Active","FINAL",2,5,"Approve","No",2010,"Renewables",1,TRUE
"16","PSB","CA","SAN BERNARDINO","HELENDALE",92342,"No","Yes",920,8,221111,NA,"1/1/2000","No","No","Yes","Non-Veteran","Male","White","No","Non-Veteran","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-06-01,"12/1/2008","Hydroelectric Power Generation","TX","DALLAS",75236,"Federal",NA,NA,NA,70,3,"Increase","11/8/2010",563573,"Active","FINAL",1,1,"Approve","No",2008,"Renewables",1,TRUE
"17","PSB","CO","BOULDER","LONGMONT",80501,"No","Yes",811,4,221111,237130,"3/1/2005","No","No","No","Unknown/NotStated","Female",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hydroelectric Power Generation","IA","PLYMOUTH",51001,"Local","Prime",NA,"No",70,0,"Original","11/12/2010",3e+05,"Cancelled","BID",NA,NA,"Approve","No",NA,"Renewables",1,TRUE
"18","SBG","CO","DENVER","DENVER",80211,"No","Yes",811,1,334210,NA,"4/1/1990","No","Yes","Yes","Veteran","Male",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-10-01,"4/30/2005","Telephone Apparatus Manufacturing","CO","DENVER",80202,"Private","Prime",0,"No",90,3,"Increase","12/16/2010",623366.88,"Closed","FINAL",10,5,"Approve","No",2004,"FutureG",1,TRUE
