"Fiscal_Year","PlatformPortfolioUAV","IsRemotelyOperated","EntityID","Action_Obligation_Then_Year","NumberOfActions","AnySmall","AllSmall","EntityText","EntityCategory","EntitySizeCode","IsEntityAbove2016constantOneMillionThreshold","IsEntityAbove2018constant10ThousandThreshold","IsEntityAbove2016constantReportingThreshold","IsEntityAbove1990constantReportingThreshold","AnyEntityUSplaceOfPerformance","AnyEntityForeignPlaceOfPerformance","ObligatedAmountIsSmall","Top100Federal","Top6","UnknownCompany","EntitySizeText","EntitySmall","EntitySizeText.sum","Action_Obligation_OMB23_GDP21","dFYear","EntityCount","pos","pct"
1989,"Remotely Operated",1,673331,54000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",109286.389987851,1989-01-01,1,1,1
1990,"Remotely Operated",1,25019,29000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",57042.2199426796,1990-01-01,1,42,0.000235467972295975
1990,"Remotely Operated",1,53151,287000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",564521.280122381,1990-01-01,1,20,0.002330320967205
1990,"Remotely Operated",1,97330,47000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",92447.7357691704,1990-01-01,1,41,0.000381620506824511
1990,"Remotely Operated",1,156210,235000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",462238.678845852,1990-01-01,1,21,0.00190810253412256
1990,"Remotely Operated",1,165996,196000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",385526.727888455,1990-01-01,1,24,0.00159143870931073
1990,"Remotely Operated",1,173833,298000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",586157.98423857,1990-01-01,1,19,0.00241963640497243
1990,"Remotely Operated",1,262327,187000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",367823.96997521,1990-01-01,1,25,0.00151836244204646
1990,"Remotely Operated",1,271889,67000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",131787.197798605,1990-01-01,1,36,0.000544012211856218
1990,"Remotely Operated",1,311890,858000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",1687662.92106273,1990-01-01,1,12,0.00696660414586023
1990,"Remotely Operated",1,314882,-1034000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",-2033850.18692175,1990-01-01,1,48,NA
1990,"Remotely Operated",1,315174,2388000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",4697131.76631445,1990-01-01,1,8,0.0193895695807858
1990,"Remotely Operated",1,341843,-109000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",-214400.068060416,1990-01-01,1,47,NA
1990,"Remotely Operated",1,370217,822000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",1616851.88940975,1990-01-01,1,13,0.00667429907680316
1990,"Remotely Operated",1,403501,124000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",243904.664582492,1990-01-01,1,28,0.00100682857119658
1990,"Remotely Operated",1,426200,87000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",171126.659828039,1990-01-01,1,34,0.000706403916887925
1990,"Remotely Operated",1,433514,225000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",442568.947831135,1990-01-01,1,23,0.0018269066816067
1990,"Remotely Operated",1,443122,375000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",737614.913051891,1990-01-01,1,17,0.00304484446934451
1990,"Remotely Operated",1,444503,48000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",94414.7088706421,1990-01-01,1,40,0.000389740092076097
1990,"Remotely Operated",1,445796,98000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",192763.363944228,1990-01-01,1,33,0.000795719354655364
1990,"Remotely Operated",1,458125,1571000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",3090114.74241206,1990-01-01,1,11,0.0127558684302406
1990,"Remotely Operated",1,467904,148000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",291112.019017813,1990-01-01,1,27,0.00120169861723463
1990,"Remotely Operated",1,474906,55000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",108183.520580944,1990-01-01,1,38,0.000446577188837194
1990,"Remotely Operated",1,526141,429000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",843831.460531364,1990-01-01,1,14,0.00348330207293011
1990,"Remotely Operated",1,584626,26000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",51141.3006382645,1990-01-01,1,43,0.000211109216541219
1990,"Remotely Operated",1,591042,384000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",755317.670965137,1990-01-01,1,16,0.00311792073660877
1990,"Remotely Operated",1,596486,116000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",228168.879770718,1990-01-01,1,30,0.0009418718891839
1990,"Remotely Operated",1,640669,343000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",674671.773804797,1990-01-01,1,18,0.00278501774129377
1990,"Remotely Operated",1,649350,8512000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",16742875.0397272,1990-01-01,1,4,0.0691139096614945
1990,"Remotely Operated",1,653876,13628000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",26805909.4268565,1990-01-01,1,2,0.110653707808605
1990,"Remotely Operated",1,656059,12498000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",24583229.8221934,1990-01-01,1,3,0.101478576474314
1990,"Remotely Operated",1,660832,2199000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",4325373.85013629,1990-01-01,1,9,0.0178549679682362
1990,"Remotely Operated",1,661783,6763000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",13302639.0852532,1990-01-01,1,5,0.0549127550564717
1990,"Remotely Operated",1,665531,-25000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",-49174.3275367928,1990-01-01,1,45,NA
1990,"Remotely Operated",1,668856,107000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",210466.121857473,1990-01-01,1,31,0.000868795621919632
1990,"Remotely Operated",1,673157,56174000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",110492747.002072,1990-01-01,1,1,0.456109581922555
1990,"Remotely Operated",1,673331,-1817000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",-3573990.1253741,1990-01-01,1,49,NA
1990,"Remotely Operated",1,674372,4358000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",8572068.77621371,1990-01-01,1,7,0.035385152526409
1990,"Remotely Operated",1,674458,49000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",96381.6819721138,1990-01-01,1,39,0.000397859677327682
1990,"Remotely Operated",1,675957,-82000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",-161291.79432068,1990-01-01,1,46,NA
1990,"Remotely Operated",1,678692,5000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",9834.86550735855,1990-01-01,1,44,4.05979262579267e-05
1990,"Remotely Operated",1,680680,66000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",129820.224697133,1990-01-01,1,37,0.000535892626604633
1990,"Remotely Operated",1,682416,6670000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",13119710.5868163,1990-01-01,1,6,0.0541576336280743
1990,"Remotely Operated",1,683298,1e+05,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",196697.310147171,1990-01-01,1,32,0.000811958525158535
1990,"Remotely Operated",1,697313,1609000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",3164859.72026798,1990-01-01,1,10,0.0130644126698008
1990,"Remotely Operated",1,842092,71000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",139655.090204491,1990-01-01,1,35,0.00057649055286256
1990,"Remotely Operated",1,982032,389000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",765152.536472495,1990-01-01,1,15,0.0031585186628667
1990,"Remotely Operated",1,984427,121000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",238003.745278077,1990-01-01,1,29,0.000982469815441827
1990,"Remotely Operated",1,1117456,163000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",320616.615539889,1990-01-01,1,26,0.00132349239600841
1990,"Remotely Operated",1,1140533,234000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",460271.70574438,1990-01-01,1,22,0.00189998294887097
1991,"Remotely Operated",1,6450,149000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",280519.145901436,1991-01-01,1,29,0.0012890771406774
1991,"Remotely Operated",1,8183,348000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",655172.233380536,1991-01-01,1,18,0.00301073050305863
1991,"Remotely Operated",1,27290,102000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",192033.240818433,1991-01-01,1,36,0.000882455492275806
1991,"Remotely Operated",1,27866,187000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",352060.94150046,1991-01-01,1,25,0.00161783506917231
1991,"Remotely Operated",1,30747,138000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",259809.67875435,1991-01-01,1,30,0.00119391037190256
1991,"Remotely Operated",1,32218,59000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",111078.051061643,1991-01-01,1,44,0.000510439941610515
1991,"Remotely Operated",1,32223,2044000,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unlabeled Vendor","Unlabeled Vendor","Unlabeled Vendor",3848195.53169487,1991-01-01,1,7,0.0176837159432524
