"","Fiscal.Year","NAICS_Code","Action.Obligation","Obligation.2016","vendor_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","GEO.id2","NAICS.id","NAICS.display.label","OPTAX.id","OPTAX.display-label","ESTAB","RCPTOT","PAYANN","EMP","US_rcp","US_pay","avg_sal","NAICS_DESCRIPTION","Mismatch","def_pct"
"1",2007,"111",772643.5001,886669.153201744,55,954.939469543878,NA,0.529457888928822,0.6401012041415,0.719257180552285,0.835031813675236,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",NA
"2",2007,"112",3437506.8403,3944809.31868258,57,986.101338352288,NA,0.482032726599986,0.703880607257216,0.839522330767384,0.930281188825788,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",8.3126995379147e-06
"3",2007,"113",1652935.4399,1896873.35310994,40,1796.81775064487,NA,0.679479192586707,0.812241258863436,0.900864589361731,0.980590517197255,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Forestry and Logging","Not tracked: Agriculture",2.82943549061173e-06
"4",2007,"114",716651,822413.35781501,16,1943.43312036564,NA,0.807188914421001,0.942172550658032,0.996007241835527,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fishing, Hunting and Trapping","Not tracked: Agriculture",4.13808575116817e-07
"5",2007,"115",13484136.3501,15474106.4380308,161,519.79469673099,NA,0.404425403584501,0.513748005811983,0.588811983430103,0.682235634706244,0.87054707285028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Support Activities for Agriculture and Forestry","Not tracked: Agriculture",2.53487115209153e-06
"6",2007,"211",47294123.8226,54273724.8365848,49,1308.99927125397,NA,0.637618157761012,0.83847760239784,0.928870491971438,0.992408011004573,1,NA,"211","Oil and gas extraction","99","Total","6260","255104849","9593816","150443",255104849000,9593816000,63770.4379731859,"Oil and Gas Extraction",NA,7.25847748263174e-06
"7",2007,"212",31590513.4432,36252597.4789993,295,281.060020169908,NA,0.242667162595415,0.372837181343227,0.466737969469762,0.591914837501323,0.826442284061834,NA,"212","Mining (except oil and gas)","99","Total","6472","85855252","11623688","211377",85855252000,11623688000,54990.3158811034,"Mining (except Oil and Gas)",NA,8.06361082262396e-06
"8",2007,"213",3026441.6785,3473079.7320404,74,905.350871578959,NA,0.512253186216736,0.712171091506307,0.827553943347538,0.915956557774544,0.994291110211521,NA,"213","Support activities for mining","99","Total","9935","72564630","19469968","368613",72564630000,19469968000,52819.5370212119,"Support Activities for Mining",NA,4.72943285309451e-06
"9",2007,"221",1779762191.3536,2042417020.14414,1369,301.913169939342,NA,0.275302439194143,0.411229582116147,0.496792725480432,0.618308355449782,0.836746783176379,NA,"221","Utilities","99","Total","16578","584192658","51653618","637247",584192658000,51653618000,81057.4518200949,"Utilities",NA,0.00165969510720888
"10",2007,"233",702638870.3638,806333337.576084,161,1525.21399906588,NA,0.578842694152726,0.734459087572557,0.827527338067569,0.907674242366346,0.980898735281615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reassigned in 2002: Contruction",0.000191491116850954
"11",2007,"234",62627174.004,71869605.2375488,87,2943.52264161825,NA,0.817384250727411,0.88611755952288,0.928187595670589,0.969243403344775,0.999970224083033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reassigned in 2002: Contruction",0.000129112594625346
"12",2007,"235",58660003.8654,67316965.6476934,105,922.928998353249,NA,0.500420090548879,0.701745095461302,0.836274296889454,0.939047732298596,0.997166639627628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Reassigned in 2002: Contruction",4.68903593617752e-05
"13",2007,"236",14233825232.0906,16334433362.5093,3081,63.6020991264559,NA,0.0835299245953485,0.143334363082959,0.190695397571315,0.272333408887877,0.468149138794936,NA,"236","Construction of buildings","99","Total","211956","748498899","78144634","1541083",748498899000,78144634000,50707.6088698662,"Construction of Buildings",NA,0.136283234546313
"14",2007,"237",5993577827.683,6878101707.23319,2464,79.4070618843868,NA,0.121633629896081,0.183691065571444,0.228247628237205,0.293892633741907,0.445217007844925,NA,"237","Heavy and civil engineering construction","99","Total","39439","260455579","54176426","1044064",260455579000,54176426000,51889.9473595488,"Heavy and Civil Engineering Construction",NA,0.00950198560650745
"15",2007,"238",2033612072.6832,2333729713.88937,6826,26.2315200445498,NA,0.0566906494762404,0.0892320023582057,0.116545822760915,0.164132700127107,0.269499319632858,NA,"238","Specialty trade contractors","99","Total","477950","722887352","198681658","4731093",722887352000,198681658000,41994.8747572707,"Specialty Trade Contractors",NA,0.0452108140148779
"16",2007,"311",279638592.2664,320907266.773468,191,1728.23722606332,NA,0.738074929219851,0.904221408539681,0.939495037371384,0.962725421992959,0.991175515473705,NA,"311","Food manufacturing","99","Total","25616","589725614","50387922","1464238",589725614000,50387922000,34412.3851450379,"Food Manufacturing",NA,0.00016762121904796
"17",2007,"312",21356579.6963,24508354.0237549,186,1620.14182280147,NA,0.658480748637444,0.746988891817602,0.80098658016862,0.862658460597638,0.956284551259146,NA,"312","Beverage and tobacco product manufacturing","99","Total","3819","128130807","7370507","153802",128130807000,7370507000,47922.0491280998,"Beverage and Tobacco Product Manufacturing",NA,0.000112749047000769
"18",2007,"313",102439898.6698,117557836.435391,304,1805.93542777922,NA,0.704051914069258,0.833076586991164,0.885941277552006,0.936736485753388,0.971256045246589,NA,"313","Textile mills","99","Total","2972","36130750","5286717","157901",36130750000,5286717000,33481.2129118878,"Textile Mills",NA,0.000166895749398596
"19",2007,"314",859108493.8533,985894530.471999,827,482.43314832529,NA,0.366095839234738,0.541029665820334,0.637050123085683,0.77231626449558,0.927411365400326,NA,"314","Textile product mills","99","Total","6694","28682164","4275323","147372",28682164000,4275323000,29010.415818473,"Textile Product Mills",NA,0.00211976883396432
"20",2007,"315",2794765017.5949,3207212551.74994,1292,483.597620003746,NA,0.379139922517414,0.470125923730695,0.546735668637912,0.6408454599057,0.788066696374993,NA,"315","Apparel manufacturing","99","Total","8518","23626238","4119758","168975",23626238000,4119758000,24380.8729101938,"Apparel Manufacturing",NA,NA
"21",2007,"316",194090458.9035,222734058.874799,311,584.199106819972,NA,0.381022077769586,0.601165813869024,0.716768362453653,0.868831193096181,0.969269496704498,NA,"316","Leather and allied product manufacturing","99","Total","1300","5455857","1008356","33965",5455857000,1008356000,29688.090681584,"Leather and Allied Product Manufacturing",NA,NA
"22",2007,"321",85333880.7987,97927336.2390406,431,1645.38917839421,NA,0.569535177363397,0.718805795842449,0.780106779211185,0.840427128814955,0.915923431800776,NA,"321","Wood product manufacturing","99","Total","16868","101711917","17426832","523899",101711917000,17426832000,33263.7244965155,"Wood Product Manufacturing",NA,NA
