"","Fiscal.Year","NAICS_Code","Action.Obligation","Obligation.2016","vendor_count","hh_index","pct_sum_check","top4","top8","top12","top20","top50","GEO.id2","NAICS.id","NAICS.display.label","OPTAX.id","OPTAX.display-label","ESTAB","RCPTOT","PAYANN","EMP","US_rcp","US_pay","avg_sal","NAICS_DESCRIPTION","Mismatch","def_pct"
"1",2007,"111110",117248,134551.296763828,6,6363.70875466891,NA,0.970700313320349,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",NA
"2",2007,"111120",9391,10776.9107183842,2,5099.83622909947,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",2.27096453875693e-08
"3",2007,"111130",3436,3943.08010098692,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",5.88162133321436e-09
"4",2007,"111160",0,0,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",0
"5",2007,"111191",2495,2863.20862979114,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",4.69032896157377e-10
"6",2007,"111211",8169.1802,9374.77645168694,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",1.25376697442751e-09
"7",2007,"111331",0,0,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",0
"8",2007,"111332",384,440.670185907735,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",6.00078378674857e-10
"9",2007,"111421",323335,371052.329584577,19,1726.87939901866,NA,0.599458765676466,0.792264988324802,0.910578811449426,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",3.01522034851883e-07
"10",2007,"111422",41269,47359.421620381,6,3182.05797635945,NA,0.984467760304345,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",1.12470961039066e-08
"11",2007,"111920",1069,1226.76153316502,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",2.20385744446459e-09
"12",2007,"111940",11355,13030.7551067248,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",9.07671318560911e-09
"13",2007,"111992",11940,13702.0885930686,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",1.14320767183115e-07
"14",2007,"111998",242552.3199,278347.853913243,13,4973.43408764734,NA,0.873197172829844,0.980798699835482,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",3.84533031650938e-07
"15",2007,"112120",262143.8403,300830.66364471,7,7914.66810482333,NA,0.981994617937242,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",5.82792390355534e-06
"16",2007,"112210",218316,250534.771631857,4,5840.69829943455,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",1.3086317507568e-07
"17",2007,"112390",0,0,1,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",0
"18",2007,"112410",16560,19003.9017672711,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",2.69796597412639e-08
"19",2007,"112420",647940,743562.084002754,5,3098.93379781082,1,0.980646356144087,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",1.59873057722716e-06
"20",2007,"112511",177348,203520.771172825,13,2108.28802893639,NA,0.71853023092385,0.952358068899947,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",NA
"21",2007,"112512",858350,985024.099150792,3,9913.00479238133,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",NA
"22",2007,"112519",24960,28643.5620840028,2,9260.3550295858,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",NA
"23",2007,"112910",14879,17074.8221253156,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",2.8113908844251e-08
"24",2007,"112920",4367,5011.47578609135,1,10000,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not tracked: Agriculture",8.21033351598678e-09
