"TopPStext","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"AMMUNITION, THROUGH
30 MM",27737000,251363000,227797504,175747620,116891433,134657158,115779194,127524193,149208012,153935988,196263432,331896930,314882702,465299869.5801,454129362,991827979.5938,895250637.3071,1059113946.3024,1338782226.9272,1170973745.6478,1218003384.7141,1175956748.3221,977972546.655,749460986.96,619445316.9008,664351566.2657,599686877.799,738326545.0207,882531556.9003,759444011.4204,815456262.8909,666494945.4918
"BOMBS",58070000,500260000,408183626,764577915,312060875,141887497,148101236,107383982,155526320,124069602,294336329,325601759,1091903778.5625,1315460307,1216249000,1073382273.7031,606857786.625,874930949.3687,598526269.3017,436463504.1961,742903995.2851,881349462.015,1101121190.405,998866181.7738,679548443.9419,615328806.632,2065165885.9818,1684985515.7993,2778066825.824,2503793597.12,1491611854.0351,1814080239.398
"GUIDED MISSILE
COMPONENTS",730727000,935449628,1030869163,695334537,738825372,569136928,381591643,402817132,887256607,540997979,183603397,695747982,282214598.2734,1006769889.3008,1201046796,1578768207,1391034289,1136341989.5759,1593667526.0376,385376136.4994,1134178952.4335,1112599999.143,1323645201.0231,1286227356.4951,1286011873.4177,1012341914.1274,273846652.3947,941041565.9813,1512117954.8325,2994476652.3364,653733385.142,1577088381.6556
"GUIDED MISSILE
SUBSYSTEMS",799758000,270330246,194605462,132466332,104479699,224391699,229874245,276156522,458542012,442093451,361696304,478522002,545974333,404384734,483362616,143883138,163098535,72816198.8203,361508881.418,189911849.0176,474729726.1854,414773007.9726,615103243.846,552202922.14,1053763696.92,730543962.7554,656057384.6236,771913297.3846,727342792.4067,717317271.8494,735869237.1834,653426928.3164
"GUIDED MISSILE
SYSTEMS, COMPLETE",2145325000,1297907000,1457108052,949102710,190024278,116130801,90916346,83425672,208164228,999825174,281042451,280381397,348855505,175162355,220115450,154357328,421934999,217812568.238,462674349.0078,172576262.1468,349136748.789,317466476.7275,334543306.6851,173190059.94,555392329.67,197515638.7,995739376.4862,758382508.5989,556059823.4909,1540326663.4515,2399964726.0606,1749753901.7881
"GUIDED MISSILES",2110553000,3225063051,1856078184,2053427197,1911352392,1561198774,1768513338,1775243743,1022759422,956040232,1677509152,1249205774,1885985007,1932910798.25,2347909116,1956221018,2523356070.5,2734511091.5447,3552881537.6913,3679936652.7801,2982444224.8423,1958523098.9324,3268020374.961,3321041097.01,2485286480.3,3824839258.9675,3527944963.4114,4462222898.8479,6241020808.5142,5334703479.3155,8680503194.8712,6132730020.7532
"GUNS, THROUGH 30 MM",221460000,312192000,244210605,313240524,117257955,259362488,181512847,164139946,168861271,139352981,154753059,181609024,201070310,335080437,784462751.1016,871209052.5195,673142048.9876,1188530239.3364,1273157875.3803,1240650425.5328,602685403.8439,440939963.5552,379841357.4655,377514729.4265,274118472.8718,274929691.6488,336064991.5274,369054948.1073,338216731.4194,591322850.0247,320307310.6797,299630724.802
"LAUNCHERS, GUIDED
MISSILE",752742000,428377836,672344292,374925630,313173566,530238315,304306292,176591558,435493700,296198406,252409387,178726570,318340617,246174698,380395970,214900911,300244550,360058032.1441,482222564.932,363328360.7828,440736920.2797,467786807.683,230869266.4039,168776885.69,137491495.6063,498324650.9743,196826945.5101,189426568.3623,159252187.1609,271349725.4267,536368595.3712,657393238.719
"MISCELLANEOUS
WEAPONS",38993000,330148000,487785517,72878152,101919043,128995373,208893291,301940158,318709631,219517540,259607187,254573120,282728244,267883176,383238485,560448213,506559090.7824,465036778.4925,803996648.4887,749001163.6138,485881702.4526,476782357.7626,596304727.5618,584797302.1844,464059311.9794,522000232.8912,629084034.5396,454772220.5762,902714155.7047,660574493.6386,511687792.1831,370716536.5153
"Other Labeled PSC",4317459000,7193438014,6771626384,5507986617,4530630130,4805571323,5330631834,4553560538,4597900695,4993544820,4222671102.275,4466009686.3983,6190149655.5234,6313005100.919,5816223703.0586,6456363284.3613,6538277271.0561,7838095053.2791,7994932347.7956,8972200148.1123,7668229849.1989,7660388358.0521,6245483354.3782,4500737583.1449,4577869682.5844,4625728489.0834,6862620704.2616,7238830098.1298,7160680251.9792,7344394130.2314,7294372100.9811,7556452525.7626
"TECH REP
SVCS/GUIDED
MISSILES",128454000,89552000,113946224,135683111,96402616,72089437,57320866,63783371,228412305,296241662,797510436,678952053,902374489,1092682817,804869308,839614997,1007043553,1999185507.4686,743744442.5049,555582840.6872,587964685.0985,519555769.8436,607029608.5702,327797492.78,445116166.26,284952518.2789,333011296.3129,435756434.7345,414103293.3136,426916135.5471,392707930.1496,493374598.5554
"Unlabeled",,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,0,
