"ContractingCustomer","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Defense",12423934945.0637,12424468932.9164,15837779626.0314,18425337222.3278,20538698310.7172,25425408590.2361,28721179671.8313,30296153197.6578,33793436149.4456,38519614942.9603,39961534982.6624,39730605562.243,39961349747.0052,33931359418.8854,33313213189.1928,33042571012.3277,33263526142.8296,34993406922.5655,38689071640.6368,42361945896.872,44087196684.0629,52162527543.4242,55013136306.1205,67418109675.7784,76170074745.2891,33620250272.38
"DHS",108458000,142025751.15,141065049.1155,1047220451.9669,2153385082.0456,3016501750.0407,4502825837.4579,3473516417.7322,4356791483.2237,4466097437.1618,3818185533.3665,3688317671.3491,2938667974.7969,2872563087.9567,2824989211.9865,2893824668.0617,2937855362.29,3311509830.4514,3927301066.7765,3870303419.4934,4319710144.8614,4646594167.8989,4660501187.379,5383035471.2837,5388948329.99,1763091012.55
"Energy",1456809078.0093,2202167150.7148,2282926189.5047,2378203024.7249,1740179799.3111,1531831409.0216,2004751523.6859,2178512797.3052,4039088099.6682,3159067295.5408,3509210784.8872,3209441301.4848,3415872397.8725,3131093789.885,3222613379.606,3314698331.152,3351469469.74,3548179566.2263,3643851903.2425,3799829591.8516,4058398429.3019,5046434601.0344,6044619598.3036,6741448051.9069,7526926224.33,3474491573.86
"GSA",486435209.7619,1183340073.7963,2481407217.1867,1859976755.7824,1538761636.9107,1225119122.7962,1010083092.1162,892553327.2021,1040383682.6078,1013264885.1259,1844911203.4237,2215152633.7387,2178306868.7917,2052315993.2876,2022032103.5936,2224217919.7531,2776787466.1958,3085358401.2703,4482298826.6623,5254259788.9417,6043756035.2269,5887115904.1754,7555504785.0487,9392902925.3703,10076739249.07,4151801644.94
"HHS",2075251578.7891,2612057654.2862,3148894389.0626,3702498807.5953,4101886956.575,4368882972.758,4424981516.2422,5034215871.5976,5481013302.7075,7205245229.6334,7644274917.0212,7300675856.7866,7003555144.667,8109535052.3212,8036581426.0092,8351597729.3302,8950929619.78,8952024069.3655,8849592704.7297,9417474784.0647,15222521493.1388,16086053904.7175,15920770751.9733,17143160823.2959,14949459403.24,2968338197.57
"NASA",1268510493.6493,1261462921.6338,1242751445.2197,1240513382.8253,2141301856.7619,4139462353.1113,4143602164.6652,4413129453.2784,4836435390.9937,4340574529.0325,4911860266.155,4128326176.5403,3438451440.9808,2727372784.3895,2981269431.2966,3507284295.7153,3862174560.9671,3862125963.4303,3542502286.5118,3391102487.5231,3835925504.8765,4253797007.4783,4135069181.8275,4192335690.279,3958441643.11,1739225903.89
"Other Agencies",5153920263.786,4951856290.3782,6259878239.3175,7550692970.4623,9102097144.5321,8784745071.9607,10258644023.3721,11443993267.648,12669809941.6499,13985299626.8753,15569959993.1699,15029466525.0426,15355897993.9607,14841943939.9813,15818689292.648,15381300321.7752,15477991262.9179,15422061970.882,16014842281.9517,17007396818.8425,19335904642.9276,17949440277.3972,17973893206.1958,20171080771.5979,21035627270.02,3653971228.8
"State and IAP",499769364.6948,946769712.194,2479060758.223,3287602425.3809,2277622997.9408,4288320441.6978,4745483131.7373,5286724619.4395,5950662510.091,7064563789.5649,6456479107.195,6114398456.2572,5736042365.1876,5796518895.5134,5593658444.0288,6496735066.0429,6598584264.9197,7391788985.3302,7758368083.1417,8365289857.1199,8998732822.9978,8519360836.0036,9190491288.7464,10062458699.9695,10679832122.68,3528943537.12
"VA",155670064.9,144730784.24,236971737.6271,314293147.0369,467887617.1581,479581117.7857,409141809.047,489427921.9517,703018503.2701,1057694136.5042,1329729861.1782,1540344795.5721,1101047055.3371,1426431247.4007,1562539658.6171,1190253365.3432,1546943837.104,1821964296.5545,1961081783.1721,2056996119.5104,2350803566.0252,3235022919.3666,3184610338.0298,3749335082.7001,4000727705.2,1347735393.75
,,,0,,,,,,,,,,,,,,,,,,,,,,,
